iter	Logloss
0	0.6780967932
1	0.6675261135
2	0.6611656626
3	0.6520400211
4	0.6479825394
5	0.6162108348
6	0.5995015093
7	0.5957632918
8	0.5822904884
9	0.5745638487
10	0.5661165633
11	0.5595855719
12	0.539881513
13	0.535873901
14	0.5256130606
15	0.518846378
16	0.5037716834
17	0.5005253223
18	0.4963146073
19	0.4937233448
20	0.4817157409
21	0.4769461187
22	0.4711391402
23	0.4696967044
24	0.4653315917
25	0.4586450064
26	0.4570359403
27	0.4552940855
28	0.4403094498
29	0.4394848086
30	0.4346569183
31	0.4273518981
32	0.4228860876
33	0.4196153921
34	0.4084959459
35	0.4075711124
36	0.4052333451
37	0.4014339711
38	0.4001536993
39	0.3974818987
40	0.3958601512
41	0.393615391
42	0.3874436983
43	0.3864492748
44	0.3794773271
45	0.378508462
46	0.3758511552
47	0.3758368922
48	0.3753190998
49	0.3748143608
50	0.3746569813
51	0.3721686081
52	0.3721605618
53	0.3658910795
54	0.3658831418
55	0.3650540431
56	0.362885498
57	0.3599684103
58	0.3593938057
59	0.3566328652
60	0.356033378
61	0.3535229876
62	0.3529772954
63	0.3529025465
64	0.3500284602
65	0.3498621146
66	0.3490545686
67	0.3486375655
68	0.3475437376
69	0.3411715625
70	0.3402939212
71	0.3370339242
72	0.3360598959
73	0.3339399804
74	0.3326308019
75	0.3322471006
76	0.3321774271
77	0.3291593581
78	0.3275776666
79	0.326843179
80	0.3267778463
81	0.3256184295
82	0.3237536878
83	0.3206442409
84	0.3161589197
85	0.3149102731
86	0.3145173668
87	0.3144217517
88	0.3090406941
89	0.3079093182
90	0.3078135532
91	0.3028285609
92	0.3024384928
93	0.2987731211
94	0.298371171
95	0.298362176
96	0.2977139658
97	0.2977067111
98	0.2976972161
99	0.2974761019
100	0.2974707632
101	0.2913363735
102	0.2913261584
103	0.2912180393
104	0.2886095338
105	0.2882295059
106	0.2852641966
107	0.2808197651
108	0.2788976846
109	0.2760074224
110	0.2740957841
111	0.2740390518
112	0.2737078463
113	0.2713170843
114	0.2658468128
115	0.2623546234
116	0.2591540788
117	0.2591217639
118	0.2577772203
119	0.2577177739
120	0.2574191477
121	0.2557510078
122	0.2557447354
123	0.2529949616
124	0.2514274178
125	0.2498623862
126	0.2498204903
127	0.2475276612
128	0.2464298538
129	0.2460338756
130	0.2429941225
131	0.242360668
132	0.2416060932
133	0.2416008543
134	0.2412378899
135	0.2399778351
136	0.2398890643
137	0.2378712266
138	0.2370959731
139	0.2322270534
140	0.2322236427
141	0.2321260905
142	0.2288382338
143	0.2287955826
144	0.2264048832
145	0.2253824466
146	0.2245999045
147	0.2230126666
148	0.2226406676
149	0.2226364185
150	0.2217269784
151	0.2197455461
152	0.2196230777
153	0.2168725736
154	0.2147304685
155	0.2144157369
156	0.2144099149
157	0.2120648827
158	0.2114868425
159	0.2110191904
160	0.2102864254
161	0.2079358508
162	0.2066004798
163	0.206208518
164	0.2058998915
165	0.2024677436
166	0.2018454785
167	0.2009868202
168	0.2005801367
169	0.1969094951
170	0.1944574122
171	0.192821616
172	0.1908154402
173	0.1872793756
174	0.1857449875
175	0.1807312064
176	0.1776023755
177	0.1754780913
178	0.1746012303
179	0.1735499239
180	0.1719157583
181	0.1691625585
182	0.1683397979
183	0.1651389453
184	0.1646604311
185	0.1637188223
186	0.1624546596
187	0.1609767806
188	0.1594322548
189	0.1591537362
190	0.1566721601
191	0.154394248
192	0.1522424256
193	0.1500714991
194	0.1474163176
195	0.1427391332
196	0.1411602335
197	0.1375640562
198	0.13546459
199	0.1349085241
