iter	Passed	Remaining
0	179	26712
1	208	15441
2	233	11423
3	259	9456
4	283	8234
5	308	7393
6	327	6690
7	346	6150
8	366	5741
9	380	5327
10	402	5082
11	419	4823
12	436	4599
13	454	4414
14	466	4200
15	484	4056
16	500	3916
17	517	3792
18	534	3685
19	565	3678
20	598	3676
21	629	3661
22	658	3634
23	672	3530
24	703	3517
25	734	3501
26	763	3478
27	784	3418
28	803	3352
29	821	3287
30	831	3192
31	849	3132
32	867	3075
33	885	3022
34	903	2967
35	920	2915
36	938	2865
37	955	2817
38	973	2772
39	989	2722
40	1008	2680
41	1025	2636
42	1041	2592
43	1058	2551
44	1075	2509
45	1092	2469
46	1108	2430
47	1125	2392
48	1144	2358
49	1161	2323
50	1178	2287
51	1195	2253
52	1202	2200
53	1219	2168
54	1238	2139
55	1254	2105
56	1272	2075
57	1288	2044
58	1305	2013
59	1321	1982
60	1338	1952
61	1349	1915
62	1366	1887
63	1385	1861
64	1397	1827
65	1411	1795
66	1428	1769
67	1447	1745
68	1465	1720
69	1486	1699
70	1506	1675
71	1523	1650
72	1542	1626
73	1560	1602
74	1577	1577
75	1595	1553
76	1612	1529
77	1630	1504
78	1654	1486
79	1675	1465
80	1685	1435
81	1702	1411
82	1719	1388
83	1737	1364
84	1754	1341
85	1767	1315
86	1783	1291
87	1800	1268
88	1816	1245
89	1832	1221
90	1843	1195
91	1861	1173
92	1868	1145
93	1885	1123
94	1903	1102
95	1921	1080
96	1938	1059
97	1956	1038
98	1973	1016
99	1980	990
100	1997	969
101	2015	948
102	2032	927
103	2050	906
104	2068	886
105	2087	866
106	2104	845
107	2120	824
108	2137	803
109	2154	783
110	2171	762
111	2187	742
112	2205	722
113	2222	701
114	2240	681
115	2257	661
116	2274	641
117	2292	621
118	2309	601
119	2327	581
120	2344	561
121	2362	542
122	2372	520
123	2389	500
124	2407	481
125	2425	462
126	2443	442
127	2457	422
128	2474	402
129	2482	381
130	2500	362
131	2517	343
132	2532	323
133	2549	304
134	2565	285
135	2576	265
136	2593	246
137	2611	227
138	2628	207
139	2636	188
140	2654	169
141	2672	150
142	2689	131
143	2706	112
144	2723	93
145	2741	75
146	2758	56
147	2776	37
148	2792	18
149	2810	0
